userName,id,rank,scorePerMinute,killsPerMinute,winPercent,killDeath,quits,accuracy,headshots,secondsPlayed,kills,deaths,wins,loses,avengerKills,saviorKills,headShots,heals,revives,repairs,resupplies,killAssists,skill,longestHeadShot,highestKillStreak
3fb4f3dd1ca0e64507a817618ced5,180073028,21,364,0.54,41.67,0.9,28.0,9.04,15.39,103942,929,1036,30,42,158,77,143,1336,483,73,58,88,208,397.6,13
2946286923bf6e3547c404a03270d,1469641262,77,349,0.41,37.61,0.76,43.17,7.59,19.88,929217,6297,8275,205,340,637,590,1252,1257,148,101,675,791,161,619.21,16
85dbdfdc75331d00e24956316a823,4071843053,63,557,0.76,48.6,1.39,14.74,5.23,15.82,415819,5264,3795,104,110,724,826,833,2725,287,36,4642,836,308,427.24,18
b7eaada79099970d7b005f053a086,604807874,27,402,0.7,44.33,0.85,39.75,11.39,18.56,135626,1579,1856,43,54,175,103,293,879,246,70,11,131,289,162.48,9
e3bc091bea5136f5a731949003f2b,2966850012,30,674,0.66,41.07,1.03,45.1,7.34,20.6,102272,1131,1096,23,33,147,126,233,548,45,22,9,116,216,299.87,10
c3d48413664f5e3242a3c781d22fa,3556461637,0,142,0.5,0.0,0.64,50.0,17.7,0.0,852,7,11,0,1,0,2,0,0,0,0,0,0,92,0.0,3
7246c6f2c86331241af86deace44c,3572485507,125,522,0.57,46.99,0.86,18.54,7.56,15.38,2187600,20901,24281,609,687,1857,1610,3215,6904,1048,1169,5052,2372,256,516.97,32
7bd8580d2dddf93aefdc2d0360d89,573257222,107,457,0.35,48.72,0.75,20.36,5.89,10.1,1312460,7751,10400,362,381,574,376,783,3107,645,1099,815,737,150,331.34,36
197ab597a4fb8fbb1f816a8fb1f22,926030446,24,165,0.15,48.08,0.4,49.51,6.76,16.16,282298,724,1788,75,81,78,55,117,296,3,48,41,101,127,454.58,5
5d7e378af3cd088bb4d22ceafc195,4172542498,50,734,0.66,44.8,0.98,16.11,11.16,16.47,217538,2398,2439,56,69,269,269,395,1602,93,302,133,354,248,242.41,10
0bde9663ef9390506a19b6b63fa2e,2560954054,42,472,0.61,52.94,0.65,28.31,11.71,16.43,247088,2507,3855,63,56,377,392,412,2541,737,79,1440,354,306,308.4,36
90311a60bf23051380630f8042025,2580370833,110,640,0.8,45.87,1.12,17.52,11.84,18.49,991107,13246,11847,339,400,1216,1220,2449,3253,840,429,1237,1436,240,389.82,29
2467536926b9589371067dc9a118f,2696022193,60,675,0.54,56.6,0.87,26.13,8.17,14.31,317340,2865,3308,120,92,338,299,410,1885,392,59,106,333,273,314.21,11
217e35850351b6f261e8e0cd08a83,603158416,115,243,0.42,45.43,0.86,53.25,13.63,10.27,3190690,22161,25663,705,847,972,531,2276,15,3,1510,72,745,277,637.24,20
